prompt,ground_truth_answer
What is the capital of Spain?,Madrid
What is the capital of Canada?,Ottawa
Who discovered gravity?,Newton
Who painted the Mona Lisa?,Leonardo
What is the largest desert?,Sahara
What is the fastest land animal?,Cheetah
What is the smallest planet?,Mercury
Who invented electricity?,Faraday
What is the currency of USA?,Dollar
What is the capital of Australia?,Canberra
What is 12 * 12?,144
What is 200 / 4?,50
What is 17 + 23?,40
What is 90 - 45?,45
What is 6 cubed?,216
What is 8 squared?,64
What is 30% of 200?,60
What is 1000 / 10?,100
What is 7 * 9?,63
What is 15 * 3?,45
What gas do plants absorb?,Carbon dioxide
What is H2O commonly known as?,Water
What organ helps in breathing?,Lungs
What part of the brain controls thinking?,Cerebrum
What is the hardest natural substance?,Diamond
What is the unit of force?,Newton
What is the speed of light?,299792458
What is the pH of pure water?,7
What is DNA?,Genetic material
What is the largest organ in the body?,Skin
Who was the first man in space?,Gagarin
Who was the first female prime minister of India?,Indira Gandhi
When did WW2 start?,1939
Who built the Taj Mahal?,Shah Jahan
Who was the first emperor of China?,Qin Shi Huang
Who discovered America?,Columbus
Who was Abraham Lincoln?,President
Where did the Industrial Revolution begin?,Britain
Who was Julius Caesar?,Roman leader
Who was Cleopatra?,Queen
"If 5 pens cost 10, what is cost of 1?",2
"If a car travels 80 km in 2 hours, speed?",40
Half of 60 is?,30
Double of 45 is?,90
"If 10 items cost 50, cost of 1?",5
"If 3 workers take 6 days, how long for same workers?",6
If 20% of 50 is?,10
If a number is tripled from 7?,21
If 4+4+4?,12
If 100 divided by 5?,20
What is the capital of the country where Berlin is?,Berlin
Which country has Tokyo as capital?,Japan
Which continent is Brazil in?,South America
What language is spoken in France?,French
Which country uses the Yen?,Japan
What is the capital of the country where pyramids are?,Cairo
Which ocean is near Australia?,Pacific
Which country has Rome as capital?,Italy
What is the capital of UK?,London
Which country has Madrid as capital?,Spain
Is water wet?,Yes
Is fire cold?,No
Can humans fly naturally?,No
Is Earth bigger than Sun?,No
Do birds live underwater?,No
Is ice hot?,No
Can fish walk?,No
Is snow black?,No
Can humans breathe in space?,No
Is the moon made of cheese?,No
